New Starter,-81.41
Apprentice,-65.05
Junior Stylist,-51.72
Graduate Stylist,-38.38
New Stylist,-20
Stylist,0
Advanced Stylist,6.26
Senior Stylist,12.32
Advanced Senior,25.3
